"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"4/14/2013","Dnsimple","DNSIMPLE","3.00","debit","Uncategorized","Hilton HHonors Card","",""
"4/13/2013","Staples","STAPLES 1379","14.16","debit","Shopping","Hilton HHonors Card","",""
"4/13/2013","Fred Meyer","FRED MEYER 0023","14.64","debit","Exclude From Mint","Hilton HHonors Card","",""
"4/12/2013","Mikes Bikes Palo","MIKES BIKES OF PALO","21.74","debit","Utilities","Hilton HHonors Card","",""
"4/10/2013","Safeway","SAFEWAY 0464","1.89","debit","Exclude From Mint","Hilton HHonors Card","",""
"4/13/2013","Chipotle","CHIPOTLE 1265 0094  PALO ALTO0000010504  650-462-9154 320131030171597932","16.31","debit","Fast Food","Hilton HHonors Card","",""
"4/13/2013","CVS","CVS #3935 03935     PALO ALTO00137952    DRUG STORE/PHARMACY 320131030171597931","13.80","debit","Pharmacy","Hilton HHonors Card","",""
"4/13/2013","Safeway","SAFEWAY STORE     27Menlo ParkGROCERY STORE 320131030171597930","64.96","debit","Groceries","Hilton HHonors Card","",""
"4/13/2013","Safeway","SAFEWAY STORE     27Menlo ParkGROCERY STORE 320131030171597929","17.93","debit","Groceries","Hilton HHonors Card","",""
"4/11/2013","Safeway","SAFEWAY  STORE  0464REDMONDGROCERY STORE 320131010144488454","0.89","debit","Groceries","Hilton HHonors Card","",""
"4/10/2013","Amazon","AMAZON.COM          AMZN.COM/BIG8LL5JHGKVF MERCHANDISE 320131000131624059","37.99","debit","Shopping","Hilton HHonors Card","",""
"4/10/2013","Taco Bell","TACO BELL #28807 000REDWOOD CIT6503        925-621-2612 320131000131624058","9.35","debit","Fast Food","Hilton HHonors Card","",""
"4/09/2013","Stanford Univ Bkst","STANFORD UNIV BKST #8006214345000100015241524              94305 320130990118080220","69.78","debit","Books & Supplies","Hilton HHonors Card","",""
"4/09/2013","Amazon","AMAZON MKTPLACE PMTSAMZN.COM/BIUXQ5K11CQQI MERCHANDISE 320130990118080219","8.30","debit","Shopping","Hilton HHonors Card","",""
"4/08/2013","Amazon","AMAZON MKTPLACE PMTSAMZN.COM/BIKGKX3M8HMQ8 MERCHANDISE 320130980105153877","63.02","debit","Shopping","Hilton HHonors Card","",""
"4/07/2013","Safeway","SAFEWAY STORE     27Menlo ParkGROCERY STORE 320130970093035830","19.29","debit","Groceries","Hilton HHonors Card","",""
"4/07/2013","Amazon","AMAZON MKTPLACE PMTSAMZN.COM/BIUXQ1CRUNERS MERCHANDISE 320130970093035831","13.51","debit","Shopping","Hilton HHonors Card","",""
"4/07/2013","Paybyphone Sanfranci","PAYBYPHONE SANFRANCINEW YORK059507213   866-783-7787 320130970093035829","7.45","debit","Parking","Hilton HHonors Card","",""
"4/07/2013","Jack in the Box","JACK IN THE BOX 455 PALO ALTO07500064    800-955-5225 320130970093035828","1.01","debit","Fast Food","Hilton HHonors Card","",""
"4/06/2013","Wal-Mart","WAL-MART STORE#2280 MOUNTAIN VI23338194    DISCOUNT STORE 320130960079546768","8.81","debit","Shopping","Hilton HHonors Card","",""
"4/06/2013","Ets P Vrst","ETS*P VRST GRADE REP609-771-73040282782    TEST SERVICE 320130960079546769","25.00","debit","Utilities","Hilton HHonors Card","",""
"4/06/2013","Safeway","SAFEWAY STORE     27Menlo ParkGROCERY STORE 320130960079546770","15.68","debit","Groceries","Hilton HHonors Card","",""
"4/06/2013","Shell","SHELL OIL 5744467690PALO ALTO0225649     AUTO FUEL DISPENSER 320130960079546771","32.03","debit","Gas & Fuel","Hilton HHonors Card","",""
"4/06/2013","Chipotle","CHIPOTLE 1265 0094  PALO ALTO0000010447  650-462-9154 320130960079546772","16.31","debit","Fast Food","Hilton HHonors Card","",""
"4/05/2013","Bay Area Bridge","BAY AREA  BRIDGE TOLSAN FRANCISL7044977094 8772298655 320130950065807755","6.00","debit","Gas & Fuel","Hilton HHonors Card","",""
"4/05/2013","Safeway","SAFEWAY  STORE  3472BELLEVUEGROCERY STORE 320130950065807754","2.59","debit","Groceries","Hilton HHonors Card","",""
"4/04/2013","Amazon","AMAZON.COM          AMZN.COM/BIULIJEX5VB7N MERCHANDISE 320130940051766546","108.12","debit","Shopping","Hilton HHonors Card","",""
"4/03/2013","Safeway","SAFEWAY  STORE  0490BELLEVUEGROCERY STORE 320130930037744634","84.00","debit","Exclude From Mint","Hilton HHonors Card","",""
"4/03/2013","Safeway","SAFEWAY  STORE  0464REDMONDGROCERY STORE 320130930037744635","19.38","debit","Exclude From Mint","Hilton HHonors Card","",""
"4/02/2013","Safeway","SAFEWAY  STORE  3472BELLEVUEGROCERY STORE 320130920022971000","26.52","debit","Exclude From Mint","Hilton HHonors Card","",""
"4/02/2013","Costco","COSTCO WHSE #0006 00TUKWILA003738000   2065759191 320130920022971001","38.94","debit","Exclude From Mint","Hilton HHonors Card","",""
"4/02/2013","Comcast","COMCAST CABLE COMM  800-COMCAST84983300801 CABLE SVS 320130920022970999","147.02","debit","Exclude From Mint","Hilton HHonors Card","",""
"4/01/2013","Safeway","SAFEWAY STORE     27Menlo ParkGROCERY STORE 320130910012851034","2.38","debit","Exclude From Mint","Hilton HHonors Card","",""
"4/01/2013","Safeway","SAFEWAY  STORE  3472BELLEVUEGROCERY STORE 320130910012851033","56.77","debit","Exclude From Mint","Hilton HHonors Card","",""
"4/01/2013","Safeway","SAFEWAY  STORE  0464REDMONDGROCERY STORE 320130910012851032","29.74","debit","Exclude From Mint","Hilton HHonors Card","",""
"4/01/2013","Motel 6","BAYVIEW MOTEL       EUREKA2110328     707-442-1673 320130910012851035","103.04","debit","Auto & Transport","Hilton HHonors Card","",""
"3/30/2013","Mendocino Coast Bota","MENDOCINO COAST BOTAFORT BRAGG001000036 1 7079644352 320130890486565336","28.00","debit","Amusement","Hilton HHonors Card","",""
"3/30/2013","Denny's","DENNY'S #7449 000000EUREKA000001219   7074450521 320130890486565337","28.00","debit","Restaurants","Hilton HHonors Card","",""
"3/29/2013","Safeway","SAFEWAY  STORE  3472BELLEVUEGROCERY STORE 320130880472670672","5.00","debit","Groceries","Hilton HHonors Card","",""
"3/28/2013","Railscasts M Sdx","RAILSCASTS          541-22645518m4sdx      5412264551 320130870458497032","9.00","debit","Education","Hilton HHonors Card","",""
"3/28/2013","Burger King","BURGER KING 4273 003BELLEVUE0000040201  425-746-0336 320130870458497033","6.78","debit","Fast Food","Hilton HHonors Card","",""
"3/28/2013","7-Eleven","7-ELEVEN 17277 00071BELLEVUE260100328 7 425-747-8031 320130870458497031","1.63","debit","Fast Food","Hilton HHonors Card","",""
"3/28/2013","Safeway","SAFEWAY  STORE  0464REDMONDGROCERY STORE 320130870458497030","3.48","debit","Groceries","Hilton HHonors Card","",""
"3/27/2013","Lincoln Square Cinem","LINCOLN SQUARE CINEMBELLEVUE4254509100 320130860445949703","19.50","debit","Movies & DVDs","Hilton HHonors Card","",""
"3/27/2013","Wal-Mart","WAL-MART STORE#5939 BELLEVUE S08925628    DISCOUNT STORE 320130860445949702","4.88","debit","Shopping","Hilton HHonors Card","",""
"3/26/2013","Taco Bell","TACO BELL #22598 006BELLEVUE9503        425-747-4637 320130850432547837","10.91","debit","Fast Food","Hilton HHonors Card","",""
"3/26/2013","Home Depot","THE HOME DEPOT 4711 BELLEVUE03250471128 999-999-9999 320130850432547836","6.18","debit","Home Improvement","Hilton HHonors Card","",""
"3/25/2013","Safeway","SAFEWAY  STORE  3472BELLEVUEGROCERY STORE 320130840420107727","261.84","debit","Groceries","Hilton HHonors Card","",""
"3/25/2013","Safeway","SAFEWAY  STORE  3472BELLEVUEGROCERY STORE 320130840420107728","6.26","debit","Groceries","Hilton HHonors Card","",""
"3/25/2013","Chipotle","CHIPOTLE 0469 0089  BELLEVUE0000010160  425-467-0660 320130840420107729","16.43","debit","Fast Food","Hilton HHonors Card","",""
"3/24/2013","Big 5 Sporting","BIG 5 SPORTING GOODSBELLEVUE00840100320 800-898-2994 320130830407397647","44.97","debit","Sporting Goods","Hilton HHonors Card","",""
"3/24/2013","Albertsons","#00444 ALBERTSONS 00BELLEVUE000918532   4256412783 320130830407397646","12.53","debit","Groceries","Hilton HHonors Card","",""
"3/24/2013","Nordstrom","NORDSTROM 14 0014   BELLEVUE05522278    DEPARTMENT STORE 320130830407397648","21.87","debit","Clothing","Hilton HHonors Card","",""
"3/23/2013","Tresidder Express","TRESIDDER EXPRESS #680062143450000300004141                94305 320130820394281419","6.72","debit","Groceries","Hilton HHonors Card","",""
"3/21/2013","St Madeline Sophie","ST. MADELINE SOPHIE BELLEVUE85309603080 425-747-6770 320130800379493392","60.00","debit","Restaurants","Hilton HHonors Card","",""
"3/20/2013","Safeway","SAFEWAY  STORE  3472BELLEVUEGROCERY STORE 320130790354269910","92.72","debit","Groceries","Hilton HHonors Card","",""
"3/20/2013","Albertsons","#00444 ALBERTSONS 00BELLEVUE000955160   4256412783 320130790354269909","5.80","debit","Groceries","Hilton HHonors Card","",""
"3/17/2013","Fred Meyer","FRED-MEYER #0023 000BELLEVUE99999993075 8008589202 320130760316298874","8.90","debit","Groceries","Hilton HHonors Card","",""
"3/17/2013","Amazon","AMAZON MKTPLACE PMTSAMZN.COM/BIQ8559PJ7VZ3 MERCHANDISE 320130760316298875","39.99","debit","Shopping","Hilton HHonors Card","",""
"3/16/2013","Chipotle","CHIPOTLE 1265 0094  PALO ALTO0000010539  650-462-9154 320130750303164805","16.29","debit","Fast Food","Hilton HHonors Card","",""
"3/16/2013","CVS","CVS #3935 03935     PALO ALTO00134656    DRUG STORE/PHARMACY 320130750303164804","10.00","debit","Pharmacy","Hilton HHonors Card","",""
"3/16/2013","Safeway","SAFEWAY  STORE  3472BELLEVUEGROCERY STORE 320130750303164803","93.60","debit","Groceries","Hilton HHonors Card","",""
"3/16/2013","Dnsimple Malabar","DNSIMPLE            MALABAR85484772    321-505-0025 320130750303164806","3.00","debit","Utilities","Hilton HHonors Card","",""
"3/15/2013","Zipcar","ZIPCAR.INC ZIPCAR   CAMBRIDGEXA740D4B6   AUTOMOBILE ASSOC 320130740289427039","12.22","debit","Rental Car & Taxi","Hilton HHonors Card","",""
"3/14/2013","Safeway","SAFEWAY  STORE  0464REDMONDGROCERY STORE 320130730275827233","1.17","debit","Groceries","Hilton HHonors Card","",""
"3/14/2013","Ike Place Palo","IKE'S PLACE         PALO ALTO84223693073 415-298-1081 320130730287901481","24.00","debit","Restaurants","Hilton HHonors Card","",""
"3/14/2013","Autopay Thank You","AUTOPAY PAYMENT - THANK YOU 320130730287901480","1528.97","credit","Credit Card Payment","Hilton HHonors Card","",""
"3/12/2013","Safeway","SAFEWAY  STORE  3540DES MOINESGROCERY STORE 320130710249880787","31.47","debit","Groceries","Hilton HHonors Card","",""
"3/11/2013","Safeway","SAFEWAY  STORE  0464REDMONDGROCERY STORE 320130700237076455","6.23","debit","Groceries","Hilton HHonors Card","",""
"3/11/2013","Safeway","SAFEWAY  STORE  3472BELLEVUEGROCERY STORE 320130700237076456","24.72","debit","Groceries","Hilton HHonors Card","",""
"3/09/2013","Diddams","DIDDAMS PARTY & TOY MOUNTAIN VI10156320130 6509650138 320130680212116659","35.75","debit","Entertainment","Hilton HHonors Card","",""
"3/09/2013","Zipcar","ZIPCAR.INC ZIPCAR   CAMBRIDGER8B8C4E12   AUTOMOBILE ASSOC 320130680212116657","4.61","debit","Rental Car & Taxi","Hilton HHonors Card","",""
"3/09/2013","Target","TARGET T0322 0322   MOUNTAIN VI00713491    DISCOUNT STORE 320130680212116658","76.79","debit","Shopping","Hilton HHonors Card","",""
"3/09/2013","Zipcar","ZIPCAR.INC ZIPCAR   CAMBRIDGER8B84DB91   AUTOMOBILE ASSOC 320130680212116656","18.48","debit","Rental Car & Taxi","Hilton HHonors Card","",""
"3/09/2013","Trader Joe's","TRADER JOE'S #207  QPALO ALTO0071029     626-599-3700 320130680212116661","32.51","debit","Groceries","Hilton HHonors Card","",""
"3/09/2013","Wal-Mart","WAL-MART STORE#2280 MOUNTAIN VI70706110    DISCOUNT STORE 320130680212116660","49.67","debit","Shopping","Hilton HHonors Card","",""
"3/07/2013","Jamba Juice","JAMBA JUICE #61 0000STANFORD27311934    5105960100 320130660185820812","1.95","debit","Food & Dining","Hilton HHonors Card","",""
"3/07/2013","Safeway","SAFEWAY  STORE  0464REDMONDGROCERY STORE 320130660185820811","1.74","debit","Groceries","Hilton HHonors Card","",""
"3/06/2013","Starbucks","Starbucks #17211 StaStanfordCGFB5A      FAST FOOD RESTAURANT 320130650172594648","2.65","debit","Coffee Shops","Hilton HHonors Card","",""
"3/06/2013","Fred Meyer","FRED MEYER #0688 000LYNNWOOD99999993064 8008589202 320130650172594647","32.44","debit","Groceries","Hilton HHonors Card","",""
"3/05/2013","Safeway","SAFEWAY  STORE  3472BELLEVUEGROCERY STORE 320130640158909564","73.34","debit","Groceries","Hilton HHonors Card","",""
"3/04/2013","Safeway","SAFEWAY  STORE  3472BELLEVUEGROCERY STORE 320130630146234908","82.60","debit","Groceries","Hilton HHonors Card","",""
"3/04/2013","Safeway","SAFEWAY  STORE  0464REDMONDGROCERY STORE 320130630146234907","0.79","debit","Groceries","Hilton HHonors Card","",""
"3/03/2013","Safeway","SAFEWAY  STORE  3472BELLEVUEGROCERY STORE 320130620133966032","50.43","debit","Groceries","Hilton HHonors Card","",""
"3/03/2013","Comcast","COMCAST CABLE COMM  800-COMCAST84983300801 CABLE SVS 320130620133966031","147.29","debit","Television","Hilton HHonors Card","",""
"3/02/2013","Jack in the Box","JACK IN THE BOX 455 PALO ALTO07900009    800-955-5225 320130610119413398","1.73","debit","Fast Food","Hilton HHonors Card","",""
"3/02/2013","CVS","CVS #3935 03935     PALO ALTO00013212    DRUG STORE/PHARMACY 320130610119413397","8.13","debit","Pharmacy","Hilton HHonors Card","",""
"3/02/2013","Taco Bell","TACO BELL #28807 000REDWOOD CIT2655        925-621-2612 320130610119413399","1.73","debit","Fast Food","Hilton HHonors Card","",""
"3/02/2013","Zipcar","ZIPCAR.INC ZIPCAR   CAMBRIDGEUA5F64150   AUTOMOBILE ASSOC 320130610119413401","12.22","debit","Rental Car & Taxi","Hilton HHonors Card","",""
"3/02/2013","Safeway","SAFEWAY STORE     27Menlo ParkGROCERY STORE 320130610119413400","16.62","debit","Groceries","Hilton HHonors Card","",""
"2/28/2013","Amazon","AMAZON MKTPLACE PMTSAMZN.COM/BIJIOIUK4OYTL MERCHANDISE 320130590091290693","73.77","debit","Shopping","Hilton HHonors Card","",""
"2/28/2013","Railscasts J Fy","RAILSCASTS          541-22645513j58fy      5412264551 320130590091290692","9.00","debit","Utilities","Hilton HHonors Card","",""
"2/27/2013","Fred Meyer","FRED MEYER #0688 0008008589202999999930578008589202 320130580078353996","22.73","debit","Groceries","Hilton HHonors Card","",""
"2/27/2013","Albertsons","#00469 ALBERTSONS 00LYNNWOOD000020368   4253473060 320130580078353997","25.87","debit","Groceries","Hilton HHonors Card","",""
"2/27/2013","Safeway","SAFEWAY  STORE  0464REDMONDGROCERY STORE 320130580078353995","6.13","debit","Groceries","Hilton HHonors Card","",""
"2/27/2013","QFC","QFC #5874 000005874 BELLEVUE99999993057 8002016261 320130580078353998","9.00","debit","Groceries","Hilton HHonors Card","",""
"2/26/2013","Amazon","AMAZON.COM          AMZN.COM/BITQBPMJGDH2J MERCHANDISE 320130570065348975","62.57","debit","Shopping","Hilton HHonors Card","",""
"2/26/2013","Amazon","AMAZON.COM          AMZN.COM/BIOXXZRG8NXUI MERCHANDISE 320130570065348976","31.50","debit","Shopping","Hilton HHonors Card","",""
"2/25/2013","Ike Place Palo","IKE'S PLACE         PALO ALTO84223693055 415-298-1081 320130560053420294","14.00","debit","Restaurants","Hilton HHonors Card","",""
"2/24/2013","Safeway","SAFEWAY  STORE  0464REDMONDGROCERY STORE 320130550042271157","2.29","debit","Groceries","Hilton HHonors Card","",""
"2/23/2013","Chipotle","CHIPOTLE 1265 0094  PALO ALTO0000010524  650-462-9154 320130540029159467","16.29","debit","Fast Food","Hilton HHonors Card","",""
"2/22/2013","St Madeline Sophie","ST. MADELINE SOPHIE BELLEVUE85309603052 425-747-6770 320130530016282727","60.00","debit","Restaurants","Hilton HHonors Card","",""
"2/20/2013","Zipcar","ZIPCAR.INC ZIPCAR   CAMBRIDGEL8C39EE0E   AUTOMOBILE ASSOC 320130510490545020","8.15","debit","Rental Car & Taxi","Hilton HHonors Card","",""
"2/19/2013","Bartell Drug","22 BARTELL DRUGS 000DES MOINES000017514   2068784628 320130500477318679","13.94","debit","Groceries","Hilton HHonors Card","",""
"2/19/2013","Amazon","AMAZON MKTPLACE PMTSAMZN.COM/BIEI2ULEJIRKG DIRECT MKTG MISC 320130500477318680","49.54","credit","Shopping","Hilton HHonors Card","",""
"2/18/2013","Safeway","SAFEWAY  STORE  0464REDMONDGROCERY STORE 320130490465298347","1.16","debit","Groceries","Hilton HHonors Card","",""
"2/17/2013","Amazon","AMAZON.COM          AMZN.COM/BITP90QSDFAH9 MERCHANDISE 320130480453529715","141.20","debit","Shopping","Hilton HHonors Card","",""
"2/16/2013","iTunes","ITUNES MUSICUSA ITUNCUPERTINOMHJMYDLF9L0 ITUNES MUSIC STORE 320130470439170686","0.60","debit","Music","Hilton HHonors Card","",""
"2/16/2013","Gb Palo Alto 640 Emerson Street","GB4601 PALO ALTO GB4PALO ALTO10037       640 EMERSON STREET  P 320130470439170687","35.00","debit","Utilities","Hilton HHonors Card","",""
"2/16/2013","Dnsimple Malabar","DNSIMPLE            MALABAR12677751    321-505-0025 320130470439170685","70.00","debit","Utilities","Hilton HHonors Card","",""
"2/15/2013","GODIVA Chocolatier","GODIVA CHOCOLATES #2PALO ALTO20741500    CANDY & CONFECTIONERY 320130460425320554","48.00","debit","Coffee Shops","Hilton HHonors Card","",""
"2/15/2013","Appsumo Com Ch","APPSUMO.COM         4158867866CH_1IHEZP3E 4158867866 320130460425320553","49.00","debit","Utilities","Hilton HHonors Card","",""
"2/15/2013","Safeway","SAFEWAY  STORE  0464REDMONDGROCERY STORE 320130460425320552","7.85","debit","Groceries","Hilton HHonors Card","",""
"2/14/2013","Autopay Thank You","AUTOPAY PAYMENT - THANK YOU 320130450411860537","2120.69","credit","Credit Card Payment","Hilton HHonors Card","",""
"2/13/2013","Amazon","AMAZON.COM          AMZN.COM/BIRERFQEQSJH0 MERCHANDISE 320130440398481057","11.70","debit","Shopping","Hilton HHonors Card","",""
"2/13/2013","GoDaddy.com","GODADDY.COM         (480)505-88511711856  (480)505-8855 320130440398481056","40.62","debit","Business Services","Hilton HHonors Card","",""
"2/13/2013","Amazon","AMAZON SERVICES-KIND866-321-885NQH73JX3SRS DIGITAL 320130440398481055","16.85","debit","Shopping","Hilton HHonors Card","",""
"2/13/2013","Safeway","SAFEWAY  STORE  0464REDMONDGROCERY STORE 320130440398481054","1.16","debit","Groceries","Hilton HHonors Card","",""
"2/12/2013","Zipcar","ZIPCAR.INC ZIPCAR   CAMBRIDGEXA5E78530   AUTOMOBILE ASSOC 320130430385706433","16.31","debit","Rental Car & Taxi","Hilton HHonors Card","",""
"2/11/2013","Amazon","AMAZON SERVICES-KIND866-321-885D8E6O58KUV6 DIGITAL 320130420373774220","6.52","debit","Shopping","Hilton HHonors Card","",""
"2/10/2013","Zipcar","ZIPCAR.INC ZIPCAR   CAMBRIDGEXA5D61D50   AUTOMOBILE ASSOC 320130410362606520","4.07","debit","Rental Car & Taxi","Hilton HHonors Card","",""
"2/09/2013","Zipcar","ZIPCAR.INC ZIPCAR   CAMBRIDGEL8BC9F389   AUTOMOBILE ASSOC 320130400350308120","8.15","debit","Rental Car & Taxi","Hilton HHonors Card","",""
"2/09/2013","Safeway","SAFEWAY STORE     27Menlo ParkGROCERY STORE 320130400350308119","47.51","debit","Groceries","Hilton HHonors Card","",""
"2/08/2013","Safeway","SAFEWAY  STORE  0464REDMONDGROCERY STORE 320130390336587426","4.28","debit","Groceries","Hilton HHonors Card","",""
"2/05/2013","GODIVA Chocolatier","GODIVA CHOCOLATES #2PALO ALTO10887200    CANDY & CONFECTIONERY 320130360297811271","12.00","debit","Coffee Shops","Hilton HHonors Card","",""
"2/05/2013","USPS","USPS 055805019710681STANFORD018683369   800-2758777 320130360297811272","80.00","debit","Shipping","Hilton HHonors Card","",""
"2/04/2013","Stanford Univ Bkst","STANFORD UNIV BKST #8006214345000090078587858              94305 320130350285618451","26.93","debit","Books & Supplies","Hilton HHonors Card","",""
"2/04/2013","Amazon","AMAZON.COM          AMZN.COM/BIG07O0Y5TED3 MERCHANDISE 320130350285618450","12.73","debit","Shopping","Hilton HHonors Card","",""
"2/04/2013","Tresidder Express","TRESIDDER EXPRESS #68006214345000030064396439              94305 320130350285618453","3.25","debit","Groceries","Hilton HHonors Card","",""
"2/04/2013","Tresidder Express","TRESIDDER EXPRESS #68006214345000030063766376              94305 320130350285618452","3.58","debit","Groceries","Hilton HHonors Card","",""
"2/02/2013","Amazon","AMAZON.COM          AMZN.COM/BIEI2WB66Y839 MERCHANDISE 320130330259445690","14.08","debit","Shopping","Hilton HHonors Card","",""
"2/02/2013","Amazon","AMAZON.COM          AMZN.COM/BIEI22UM6IL2G MERCHANDISE 320130330259445693","83.97","debit","Shopping","Hilton HHonors Card","",""
"2/02/2013","Amazon","AMAZON.COM          AMZN.COM/BIEI2Y8B3AXJ8 MERCHANDISE 320130330259445691","72.92","debit","Shopping","Hilton HHonors Card","",""
"2/02/2013","Victoria's Secret","VICTORIA'S SECRET 1 PALO ALTO9866        (650) 328-0574 320130330259445692","12.10","debit","Clothing","Hilton HHonors Card","",""
"2/02/2013","Safeway","SAFEWAY STORE     27Menlo ParkGROCERY STORE 320130330259445689","58.41","debit","Groceries","Hilton HHonors Card","",""
"2/02/2013","Comcast","COMCAST CABLE COMM  800-COMCAST84983300801 CABLE SVS 320130330259445688","144.21","debit","Television","Hilton HHonors Card","",""
"2/01/2013","Amazon","AMAZON MKTPLACE PMTSAMZN.COM/BIEI2N0GX9Y7T MERCHANDISE 320130320245839436","49.54","debit","Shopping","Hilton HHonors Card","",""
"2/01/2013","Zipcar","ZIPCAR.INC ZIPCAR   CAMBRIDGETA5415127   AUTOMOBILE ASSOC 320130320245839435","32.59","debit","Rental Car & Taxi","Hilton HHonors Card","",""
"2/01/2013","Amazon","AMAZON MKTPLACE PMTSAMZN.COM/BIEI28WKLZ4VJ MERCHANDISE 320130320245839434","21.99","debit","Shopping","Hilton HHonors Card","",""
"2/01/2013","Safeway","SAFEWAY  STORE  0464REDMONDGROCERY STORE 320130320245839433","2.45","debit","Groceries","Hilton HHonors Card","",""
"2/01/2013","Amazon","AMAZON.COM          AMZN.COM/BIEI2HM6QPB2M MERCHANDISE 320130320258393975","93.93","debit","Shopping","Hilton HHonors Card","",""
"1/28/2013","Railscasts Zxmf","RAILSCASTS          541-22645515zxmf4      5412264551 320130280196102894","9.00","debit","Uncategorized","Hilton HHonors Card","",""
"1/28/2013","CVS","CVS #3935 03935     PALO ALTO00029656    DRUG STORE/PHARMACY 320130280196102896","2.52","debit","Pharmacy","Hilton HHonors Card","",""
"1/28/2013","Amazon","AMAZON SERVICES-KIND866-321-885GK3UOD9CA93 DIGITAL 320130280196102895","34.94","debit","Shopping","Hilton HHonors Card","",""
"1/26/2013","Amazon","AMAZON SERVICES-KIND866-321-885VN3ZL759IMM DIGITAL 320130260170762234","16.86","debit","Shopping","Hilton HHonors Card","",""
"1/26/2013","Safeway","SAFEWAY  STORE  3472BELLEVUEGROCERY STORE 320130260170762233","0.89","debit","Groceries","Hilton HHonors Card","",""
"1/26/2013","Chipotle","CHIPOTLE 1265 0094  PALO ALTO0000010427  650-462-9154 320130260170762236","2.62","debit","Fast Food","Hilton HHonors Card","",""
"1/26/2013","Coldstone Palo Alto","COLDSTONE #20236 026PALO ALTO0000000030  FAST FOOD RESTAURANT 320130260170762235","5.42","debit","Restaurants","Hilton HHonors Card","",""
"1/26/2013","Safeway","SAFEWAY STORE     27Menlo ParkGROCERY STORE 320130260170762237","14.86","debit","Groceries","Hilton HHonors Card","",""
"1/25/2013","Zipcar","ZIPCAR.INC ZIPCAR   CAMBRIDGESA32DFACB   AUTOMOBILE ASSOC 320130250159777402","20.36","debit","Rental Car & Taxi","Hilton HHonors Card","",""
"1/24/2013","Amazon","AMAZON SERVICES-KIND866-321-885GJHGWPFH5GL DIGITAL 320130240147193044","19.71","debit","Shopping","Hilton HHonors Card","",""
"1/23/2013","Amazon","AMAZON.COM          AMZN.COM/BIVGJ44L61XUS MERCHANDISE 320130230134044784","41.99","debit","Shopping","Hilton HHonors Card","",""
"1/22/2013","Amazon","AMAZON SERVICES-KIND866-321-885ICUH10XHIYP DIGITAL 320130220121336662","21.67","debit","Shopping","Hilton HHonors Card","",""
"1/22/2013","Amazon","AMAZON.COM          AMZN.COM/BIPW1ZMHEPBSW MERCHANDISE 320130220121336661","27.70","debit","Shopping","Hilton HHonors Card","",""
